TRAIL_NO,TRAIL_NAME,TRAIL_TYPE,TRAIL_CN,BMP,EMP,SEGMENT_LENGTH,ADMIN_ORG,MANAGING_ORG,SECURITY_ID,ATTRIBUTESUBSET,NATIONAL_TRAIL_DESIGNATION,TRAIL_CLASS,TERRA_BASE_SYMBOLOGY,ACCESSIBILITY_STATUS,TRAIL_SURFACE,SURFACE_FIRMNESS,TYPICAL_TRAIL_GRADE,TYPICAL_TREAD_WIDTH,MINIMUM_TRAIL_WIDTH,TYPICAL_TREAD_CROSS_SLOPE,SPECIAL_MGMT_AREA,MVUM_SYMBOL,ALLOWED_TERRA_USE,ALLOWED_SNOW_USE,HIKER_PEDESTRIAN_MANAGED,HIKER_PEDESTRIAN_ACCPT_DISC,HIKER_PEDESTRIAN_RESTRICTED,PACK_SADDLE_MANAGED,PACK_SADDLE_ACCPT_DISC,PACK_SADDLE_RESTRICTED,BICYCLE_MANAGED,BICYCLE_ACCPT_DISC,BICYCLE_RESTRICTED,MOTORCYCLE_MANAGED,MOTORCYCLE_ACCPT_DISC,MOTORCYCLE_RESTRICTED,ATV_MANAGED,ATV_ACCPT_DISC,ATV_RESTRICTED,FOURWD_MANAGED,FOURWD_ACCPT_DISC,FOURWD_RESTRICTED,SNOWMOBILE_MANAGED,SNOWMOBILE_ACCPT_DISC,SNOWMOBILE_RESTRICTED,SNOWSHOE_MANAGED,SNOWSHOE_ACCPT_DISC,SNOWSHOE_RESTRICTED,XCOUNTRY_SKI_MANAGED,XCOUNTRY_SKI_ACCPT_DISC,XCOUNTRY_SKI_RESTRICTED,MOTOR_WATERCRAFT_MANAGED,MOTOR_WATERCRAFT_ACCPT_DISC,MOTOR_WATERCRAFT_RESTRICTED,NONMOTOR_WATERCRAFT_MANAGED,NONMOTOR_WATERCRAFT_ACCPT_DISC,NONMOTOR_WATERCRAFT_RESTRICTED,GIS_MILES,TERRA_MOTORIZED,SNOW_MOTORIZED,WATER_MOTORIZED,OBJECTID,SHAPE_Length
291,DREW CANYON,TERRA,11631010437,0,0.535,0.535,030102,030102,0301,TrailNFS_Basic,1,2,TC1-2,,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0.542,N/A,N/A,N/A,1,1054.87384141558
602C,OSPREY,TERRA,11609010437,0,0.375,0.375,030106,030106,0301,TrailNFS_Basic,1,4,TC4-5,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0.381,N/A,N/A,N/A,2,728.075540848496
648,MEADOWVIEW,TERRA,12610010437,0,0.212,0.212,030107,030107,0301,TrailNFS_Basic,1,3,TC3,,NAT - NATIVE MATERIAL,,5-8%,,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0.207,N/A,N/A,N/A,3,412.691543369739
107C,PINEVIEW CONNECTOR,TERRA,12601010437,0,0.23,0.23,030107,030107,0301,TrailNFS_Basic,1,3,TC3,,NAT - NATIVE MATERIAL,,5-8%,,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0.238,N/A,N/A,N/A,4,445.207838024371
602G,GROUSE,TERRA,11605010437,0,1.2,1.2,030106,030106,0301,TrailNFS_Basic,1,4,TC4-5,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1.169,N/A,N/A,N/A,5,2244.85124303668
631B,LOS BURROS SHORTCUT,TERRA,12604010437,0,1.85,1.85,030107,030107,0301,TrailNFS_Basic,1,2,TC1-2,,NAT - NATIVE MATERIAL,,5-8%,,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1.888,N/A,N/A,N/A,6,3768.31874050755
622,RIM LAKES VISTA,TERRA,11659010437,0,2,2,030102,030102,0301,TrailNFS_Basic,1,5,TC4-5,ACCESSIBLE,NAT - NATIVE MATERIAL,P - PAVED,12-20%,TW03 - 18-24 INCHES,36 INCHES,2%,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1.964,N/A,N/A,N/A,7,3902.91886912178
415,CHEVELON CROSSING,TERRA,11658010437,0,0.6818,0.6818,030102,030102,0301,TrailNFS_Basic,1,3,TC3,,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0.627,N/A,N/A,N/A,8,1220.76766089707
413,BOULDER HOP,TERRA,11656010437,0,0.8,0.8,030102,030102,0301,TrailNFS_Basic,1,3,TC3,,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0.732,N/A,N/A,N/A,9,1466.90066393713
502,235 ROAD,TERRA,11707010437,0,4.2,4.2,030102,030102,0301,TrailNFS_Basic,1,4,TC4-5,,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,4.171,N/A,N/A,N/A,10,7921.68715114731
SNO-519,DARE ME,SNOW,11684010437,0,0.7312,0.7312,030102,030102,0301,TrailNFS_Basic,1,4,,,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0.744,N/A,N/A,N/A,11,1428.28744051567
SNO-515,WEDDING DAY,SNOW,11678010437,0,1.41,1.41,030102,030102,0301,TrailNFS_Basic,1,4,,,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1.418,N/A,N/A,N/A,12,2762.38009132753
27,ROBINSON MESA,TERRA,11731010437,0,11.0336,11.0336,030103,030103,0301,TrailNFS_Basic,1,2,TC1-2,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,5-8%,TW03 - 18-24 INCHES,,,IRA - INVENTORIED ROADLESS AREA,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,10.895,N/A,N/A,N/A,13,21302.1511337252
607I,TANK,TERRA,12385010437,0,0.58,0.58,030106,030106,0301,TrailNFS_Basic,1,2,TC1-2,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,5-8%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0.61,N/A,N/A,N/A,14,1134.26241644811
604,MT BALDY CROSSOVER,TERRA,11568010437,0,2.6283,2.6283,030106,030106,0301,TrailNFS_Basic,1,2,TC1-2,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,2.655,N/A,N/A,N/A,15,5106.9647037146
607D,CROSSOVER,TERRA,11577010437,0,1.04,1.04,030106,030106,0301,TrailNFS_Basic,1,4,TC4-5,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,5-8%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1.041,N/A,N/A,N/A,16,2025.18744751791
SNO-605B,SUNRISE SNOWMOBILE 249,SNOW,11583010437,0,8.38,8.38,030106,030106,0301,TrailNFS_Basic,1,3,,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,7.972,N/A,N/A,N/A,17,15460.5366793718
95B,EAST BALDY,TERRA,11563010437,0.5638,5.9287,5.3649,030106,030106,0301,TrailNFS_Basic,1,2,TC1-2,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,5.296,N/A,N/A,N/A,18,10412.905285833
94B,WEST BALDY,TERRA,11565010437,0,1.1428,1.1428,030106,030106,0301,TrailNFS_Basic,1,2,TC1-2,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1.12,N/A,N/A,N/A,19,2218.85999530947
95B,EAST BALDY,TERRA,11563010437,0,0.5638,0.5638,030106,030106,0301,TrailNFS_Basic,1,2,TC1-2,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0.549,N/A,N/A,N/A,20,1093.39193045236
607E,FLAT TOP,TERRA,11578010437,0,3.52,3.52,030106,030106,0301,TrailNFS_Basic,1,4,TC4-5,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,3.489,N/A,N/A,N/A,21,6816.3723884437
4099,BOUNDARY CREEK,TERRA,5009.003441,0.29,4.28,3.99,041904,041904,0419,TrailNFS_Basic,1,2,TC1-2,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,4.07,N/A,N/A,N/A,22,8534.30131570199
2043,DEER CREEK-DRY CREEK,TERRA,5033.003401,0,0.0313,0.0313,041902,041902,0419,TrailNFS_Basic,1,2,TC1-2,,NAT - NATIVE MATERIAL,,12-20%,TW05 - 36-48 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0.032,N/A,N/A,N/A,23,66.976420173347
2043,DEER CREEK-DRY CREEK,TERRA,5033.003401,8.6,8.6733,0.0733,041902,041902,0419,TrailNFS_Basic,1,2,TC1-2,,NAT - NATIVE MATERIAL,,12-20%,TW05 - 36-48 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0.076,N/A,N/A,N/A,24,155.277223298757
18EV412,,TERRA,323250010602,0,1.769,1.769,051654,051654,0516,TrailNFS_Centerline,0,N,TC1-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.722,N/A,N/A,N/A,25,3605.89288299188
17EV401,,TERRA,323251010602,0,1.141,1.141,051654,051654,0516,TrailNFS_Centerline,0,N,TC1-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.18,N/A,N/A,N/A,26,2330.53478524172
18EV409,,TERRA,323248010602,0,1.026,1.026,051654,051654,0516,TrailNFS_Centerline,0,N,TC1-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.897,N/A,N/A,N/A,27,1840.11225030367
18DC485,,TERRA,322421010602,0,0.058,0.058,051651,051651,0516,TrailNFS_Centerline,0,N,TC1-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.017,N/A,N/A,N/A,28,37.1626093553813
